stdev	AVG	MED	GPR	CG
5	12.88659557	12.15821325	3.790354416	12.89544422
10	14.12651841	13.18271939	6.399985469	13.72366556
15	15.24875462	13.81246037	9.454839745	14.51294777
20	17.46593065	15.98779352	12.06944401	16.95651546
25	18.55768321	16.53506245	14.3570839	17.80193368
30	20.81234395	19.05361983	17.63793118	20.3986453
35	22.83173871	20.0151132	19.92582838	21.84711701
40	25.69740377	22.75729959	23.28575424	24.08769591
45	26.09345795	23.74158301	24.29008695	24.57273139
50	28.46946314	25.13296106	25.57613499	26.72762864

