bias	AVG	MED	GPR	CG
0.3	31.95066353	31.23107427	12.4448588	32.12283306
0.35	30.98568411	30.45577121	11.73325586	31.04424326
0.4	29.21731952	28.64527884	10.55924328	29.37544175
0.45	28.59935454	28.02038544	10.22011672	28.59490509
0.5	26.78557709	26.23913108	9.148005498	26.82596235
0.55	25.26589401	24.57515005	8.036230061	25.43001849
0.6	24.07057457	23.58397761	7.388930978	24.19666822
0.65	22.38332415	22.04835595	6.345335657	22.36274275
0.7	21.24073869	20.97937082	5.662468508	21.28338626
0.75	20.05825815	19.63344086	5.123622059	20.03215996
0.8	18.14379453	17.64437587	4.095247392	18.13116401
0.85	16.80643329	16.25570669	3.699707259	16.7677864
0.9	15.8839825	15.31398054	3.291517644	15.74875827
0.95	14.54876077	13.82714721	3.10432115	14.59834736
1	12.4835676	11.84086146	3.38841187	12.41086204
1.05	11.40344597	10.68606569	3.975220824	11.36942187
1.1	10.09606755	9.467417811	4.257982198	10.03594727
1.15	8.757616114	8.101481346	5.349497472	8.750652273
1.2	7.580382576	6.809992658	5.870478004	7.790837323
1.25	6.437580291	5.844484579	6.657424637	6.33626633
1.3	4.910354366	4.345112196	7.63079891	4.897102204
1.35	3.737635616	3.531288717	8.461678037	3.66819168
1.4	2.467756066	2.844995606	9.82722036	2.608671156
1.45	2.393273908	3.231098884	10.74652224	2.559394069
1.5	4.031922618	5.029314069	12.31917444	4.022108253

