bias average	median	Peerrank	crowdgrader
2	0.626710938	0.837161155	10.25063465	0.871506397
4	1.24819045	1.569901589	10.29306211	1.538010338
6	1.910201194	2.574765193	10.32671501	2.279439361
8	2.60513086	3.414010896	10.23962347	3.102317134
10	3.236481361	4.19496534	9.912419664	3.68952539
12	3.621551739	4.889746946	9.50125517	4.199382955
14	4.164122501	5.514244336	9.243834897	4.682821906
16	5.068496562	6.719298505	8.920757636	5.954670369
18	5.269204513	7.492192763	8.237975176	6.021524525
20	5.969491921	8.077985727	7.862587729	6.762881368
22	6.667140646	9.38115963	7.625705043	7.362748142
24	7.082429555	9.666382446	7.250471226	7.889560774
26	6.553203552	9.544273445	7.182530557	7.535512405
28	8.251311653	11.67473941	7.042056688	8.893637355
30	8.23209531	12.2379352	6.279217977	9.130066309
32	8.823360607	12.79163358	6.32955624	9.993209434
34	9.623682923	13.8077695	6.314371972	10.60860123
36	10.24583012	15.37658367	6.136997849	11.05499748
38	9.801412051	14.73852649	6.178135269	11.09091355
40	10.65692183	15.07415466	6.44159637	11.58398212



