u	AVG	MEDIAN	GPR	CG MALBC	MALS	MAL	BT	THUR	PL	PG1
5	2164	2158	1756	2132	1566	1397	1402	1422	1406	1477	2032
10	1682	1890	1298	1709	1241	1320	1246	1351	1359	1364	1244
15	1464	1452	986	1331	1324	1481	1302	1477	1525	1429	959
20	1256	1539	803	1238	1401	1621	1563	1555	1695	1453	1217
25	1350	1628	1125	1307	1491	1871	1541	1790	1874	1574	1259
30	1523	1769	1131	1428	1628	1669	1890	1654	1746	1481	1413
35	1490	1831	1354	1411	1894	2526	2151	2535	2703	2321	1658
40	1735	1886	1662	1679	2139	2922	2376	2724	2949	2442	2303
45	3932	3909	3812	3919	3473	3536	3502	3705	3740	3749	3994
50	2884	3172	3045	3174	2994	2905	2857	2866	2956	2824	3015

