u AVG MEDIAN	GPR	CG MALBC	MALS	MAL	BT	THUR	PL	PG1
0	2704	2553	2580	2508	2811	3399	2897	3174	3338	2919	2881
10	2777	3055	2694	2915	2913	3215	2854	3127	3183	3017	2686
20	2333	2596	1960	2554	2692	2926	2669	2920	3055	2819	2337
30	1335	1610	967	1224	1811	1974	1968	2015	2090	1961	1308
40	1113	1491	713	995	1310	1459	1523	1347	1462	1203	737
50	1492	1533	1004	1281	1313	1263	1348	1331	1438	1273	990
60	1429	1674	869	1358	1371	1279	1268	1345	1391	1338	1023
70	1116	1476	722	1134	1107	968	1063	1000	985	992	755
80	1108	1331	757	1066	1039	1028	1212	1069	1076	1055	934
90	1390	1636	867	1265	1433	1340	1416	1340	1336	1301	1122
100	0	0	0	0	0	0	0	0	0	0	0
